Running 2 Tests ...
Test (part1.leader_election): Initial election
[1637688728142][raft.h:226][node 0 term 0] start
[1637688728143][raft.h:226][node 1 term 0] start
[1637688728143][raft.h:226][node 2 term 0] start
[1637688728143][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728143][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728143][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728153][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728153][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728153][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728165][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728165][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728165][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728177][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728177][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728177][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728188][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728188][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728188][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728198][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728199][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728199][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728209][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728209][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728209][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728220][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728220][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728220][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728230][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728231][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728231][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728241][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728241][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728241][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728253][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728253][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728253][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728263][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728263][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728263][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728275][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728275][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728275][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728286][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728286][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728286][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728297][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728297][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728297][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728308][raft.h:413][node 0 term 0] id: 0, term: 0, role: 0
[1637688728309][raft.h:413][node 1 term 0] id: 1, term: 0, role: 0
[1637688728309][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
[1637688728320][raft.h:413][node 2 term 0] id: 2, term: 0, role: 0
